DOI,PMID,arXiv ID,Title,Abstract,Authors,Journal,Year
10.1109/ojvt.2022.3174546,,,In-Vehicle Sensing for Smart Cars,"Driving safety has been attracting more and more interest due to the unprecedented proliferation of vehicles and the subsequent increase of traffic accidents. As such the research community has been actively seeking solutions that can make vehicles more intelligent and thus improve driving safety in everyday life. Among all the existing approaches, in-vehicle sensing has become a great preference by monitoring the driver’s health, emotion, attention, etc., which can offer rich information to the advanced driving assistant systems (ADAS) to respond accordingly and thus reduce injuries as much/early as possible. There have been many significant developments in the past few years on in-vehicle sensing. The goal of this paper is to provide a comprehensive review of the motivation, applications, state-of-the-art developments, and possible future interests in this research area. According to the application scenarios, we group the existing works into five categories, including occupancy detection, fatigue/drowsiness detection, distraction detection, driver authentication, and vital sign monitoring, review the fundamental techniques adopted, and present their limitations for further improvement. Finally, we discuss several future trends for enhancing current capabilities and enabling new opportunities for in-vehicle sensing.","Xiaolu Zeng,Fengyu Wang,Beibei Wang,Chenshu Wu,K. J. R. Liu,O. Au",IEEE Open Journal of Vehicular Technology,2022
10.1109/mcom.2014.6871677,,,"Context-aware vehicular cyber-physical systems with cloud support: architecture, challenges, and solutions","The advances in wireless communication techniques, mobile cloud computing, and context- aware technologies boost a growing interest in the design, development, and deployment of vehicular networks for emerging applications. This leads to an increasing evolutionary tendency to change from vehicular networks toward cloud-assisted context-aware vehicular cyberphysical systems. In this article, we first propose a multi-layered context-aware architecture and introduce two crucial service components, vehicular social networks and context-aware vehicular security. Then we propose an application scenario regarding the context-aware dynamic parking services by illuminating the cloud-assisted architecture and logic flow. Finally, we investigate the challenges and possible solutions, including context-aware safety hazard prediction, context-aware dynamic vehicle routing, and context-aware vehicular clouds.","Jiafu Wan,Daqiang Zhang,Dongliang Zhang,Daqiang Zhang,Dongliang Zhang,Daqiang Zhang,Shengjie Zhao,Shengjie Zhao,Laurence T. Yang,Laurence T. Yang,Laurence T. Yang,Jaime Lloret",IEEE Communications Magazine,2014
10.1109/jsyst.2021.3066776,,,An Efficient Context-Aware Vehicle Incidents Route Service Management for Intelligent Transport System,"The continuous urbanization with extensive dynamic situations on evolving cities, urban, and suburban areas, it is not feasible to categorize the navigation as fastest route, toll-free, and other variants. Metropolitan areas are more prone to traffic congestion, lane blocking, accidents, etc., due to the overcrowding and dynamic change of commuters’ arrival rates. In the metropolitan areas, most of the commuters’ use Google map to reach their desired destinations. It is quite often that route specified by navigation will not be reliable because sometimes due to the inability to update the sudden occurrence of incidents on the routes. Currently, Google map and GPS provide the time required to cover the distance and shortest route to reach the destination. The main issues with the existing Google map are it does not considers the impact of sudden occurrence of incidents, does not show the type of incidents that occurred, clearance time, and optimal routes. These issues are solved by designing an efficient context-aware vehicle incidents route service management for an intelligent transport system. The proposed system takes the context information of incidents, vehicles, weather conditions, roadside units, roads, and so on. This context information will be collected and shared with the nearby vehicles and roadside units using both mobile agents and dedicated short-range communication protocols. The proposed system suggests alternative routes with minimal delay and traffic clearance time and severity of incidents to the commuters. Also, it provides the incident information to the neighborhood vehicles, roadside units, nearby hospitals, ambulance, and members of the victims. The proposed system is exhaustively simulated in objective modular network testbed in C++, simulation of urban mobility, and Veins with different simulation parameters. The proposed system’s simulation results reduce the travel time (7 min) compared to the without the context information system (25 min), least collision rate (0.785%) compared to the existing system, minimizes the traffic clearance time in the incident zone, and uniform distribution of vehicle traffic on the estimated routes.","Suresh Chavhan,Deepak Gupta,Chandana Nagaraju,Rammohan A,Ashish Khanna,Joel J. P. C. Rodrigues",IEEE Systems Journal,2021
10.1016/j.vehcom.2020.100236,,,Context-aware opportunistic computing in vehicle-to-vehicle networks,"Abstract   Recent advancement in communication among smart devices, vehicular fog computing introduces new dimensions for delay-sensitive applications. The traditional computing paradigm to install edge locations is no longer viable due to incurred latency while decision making, especially in delay-sensitive applications. In this paper, we propose a vehicle-to-vehicle task offloading framework that allows vehicles to utilize computation resources available at nearby vehicles. The objective is to bring fog computing near vehicles to achieve computational efficiency and improve quality of service. To overcome mobility issues, we implement Context-aware opportunistic offloading schemes based on speed, direction, and locality of vehicles. The schemes are compared to random offloading mechanism in terms of efficiency, task completion, failure rate, workload distribution, and waiting time. The results demonstrate a significant reduction in failure rate up to 10% with more tasks completed on vehicles within direct communication range.","Anis Ur Rahman,Asad Waqar Malik,Vishwani Sati,Arpita Chopra,Sri Devi Ravana",Vehicular Communications,2020
10.1109/access.2021.3097146,,,Context-Aware Security for Vehicles and Fleets: A Survey,"Vehicles are becoming increasingly intelligent and connected. Interfaces for communication with the vehicle, such as WiFi and 5G, enable seamless integration into the user’s life, but also cyber attacks on the vehicle. Therefore, research is working on in-vehicle countermeasures such as authentication, access controls, or intrusion detection. Recently, legal regulations have also become effective that require automobile manufacturers to set up a monitoring system for fleet-wide security analysis. The growing amount of software, networking, and the automation of driving create new challenges for security. Context-awareness, situational understanding, adaptive security, and threat intelligence are necessary to cope with these ever-increasing risks. In-vehicle security should be adaptive to secure the car in an infinite number of (driving) situations. For fleet-wide analysis and alert triage, knowledge and understanding of the circumstances are required. Context-awareness, nonetheless, has been sparsely considered in the field of vehicle security. This work aims to be a precursor to context-aware, adaptive and intelligent security for vehicles and fleets. To this end, we provide a comprehensive literature review that analyzes the vehicular as well as related domains. Our survey is mainly characterized by the detailed analysis of the context information that is relevant for vehicle security in the future.","Daniel Grimm,Marco Stang,Eric Sax",IEEE Access,2021
10.1007/978-3-319-94214-8_29,,,Towards Context-Aware Vehicle Navigation in Urban Environments: Modeling Challenges,"Currently, urban vehicle navigation is considered important because smoothness of traffic is needed for the sake of safety and cleanliness of air; in this regard, people essentially count on GPS navigation. Nevertheless, due to signal building shadows, GPS signal disturbances may occur in an urban environment; then alternative navigation options should be considered. It is therefore a matter of context-awareness to establish whether or not GPS navigation is available and adjust the delivered navigation services accordingly. In this paper we propose a top-down approach for modeling context-aware vehicle navigation systems; firstly, a high-level technology-independent conceptual model is derived (featuring context-awareness in general) and then this model is mapped towards corresponding lower-level technical solutions. Even though research materials, touching upon context-awareness or vehicle navigation, can be found in literature, we miss holistic approaches that align high-level (conceptual) goals with navigation-specific (technical) solutions; hence, our proposal is considered a step forward in this regard. We also propose an innovation concerning the technical aspects of navigation. Our proposed approach is partially validated by means of experiments.","Ivan Garvanov,Christo Kabakchiev,Boris Shishkov,Magdalena Garvanova",BMSD,2018
10.1109/icce.2019.8661942,,,Context Aware Vehicle Detection using Correlation Filter,"As interest in autonomous driving system has increased recently, variety of ADAS technologies that are responsible for safety of passengers are receiving attention. Realtime analysis and robust vehicle detection are essential for ADAS technology to cope with rapidly changing road conditions. In this paper, we propose a real-time vehicle detection system based on correlation filter.","Changeui Son,Seokmok Park,JaeMin Lee,Joonki Paik",2019 IEEE International Conference on Consumer Electronics (ICCE),2019
10.1109/tits.2022.3173944,,,Vehicle Trajectory Prediction in Connected Environments via Heterogeneous Context-Aware Graph Convolutional Networks,,"Yuhuan Lu,Weiqi Wang,Xiping Hu,Pengpeng Xu,Shengwei Zhou,Ming-cheng Cai",IEEE Transactions on Intelligent Transportation Systems,2022
10.1109/iccps54341.2022.00013,,2201.06644,HydraFusion: Context-Aware Selective Sensor Fusion for Robust and Efficient Autonomous Vehicle Perception,"Although autonomous vehicles (AVs) are expected to revolutionize transportation, robust perception across a wide range of driving contexts remains a significant challenge. Techniques to fuse sensor data from camera, radar, and lidar sensors have been proposed to improve AV perception. However, existing methods are insufficiently robust in difficult driving contexts (e.g., bad weather, low light, sensor obstruction) due to rigidity in their fusion implementations. These methods fall into two broad categories: (i) early fusion, which fails when sensor data is noisy or obscured, and (ii) late fusion, which cannot leverage features from multiple sensors and thus produces worse estimates. To address these limitations, we propose HydraFusion: a selective sensor fusion framework that learns to identify the current driving context and fuses the best combination of sensors to maximize robustness without compromising efficiency. HydraFusion is the first approach to propose dynamically adjusting between early fusion, late fusion, and combinations in-between, thus varying both how and when fusion is applied. We show that, on average, Hydrafusionoutperforms early and late fusion approaches by 13.66% and 14.54%, respectively, without increasing computational complexity or energy consumption on the industry-standard Nvidia Drive PX2 AV hardware platform. We also propose and evaluate both static and deep-learning-based context identification strategies. Our open-source code and model implementation are available at https://github.com/AICPS/hydrafusion.","A. Malawade,Trier Mortlock,M. A. Faruque",2022 ACM/IEEE 13th International Conference on Cyber-Physical Systems (ICCPS),2022
10.1109/tvt.2018.2849577,,,Smart and Robust Speaker Recognition for Context-Aware In-Vehicle Applications,"The importance of robust audio speech processing has rapidly increased in the latest years, as the number of smart and connected devices is growing. This effect is strongly related to the Internet of things framework, introducing concepts such as connected vehicles and future smart cities. Context-aware applications are fundamental in this evolving environment, enabling smart and custom-tailored services for a variety of users. The use of on-board speaker recognition (SR) systems can play a key role in enhancing the customization of in-vehicle applications, by identifying the actual users and personalizing services based on their identity. Driven by this motivation, in this paper we present a performance study of an SR system, designed to face typical challenging conditions of an in-vehicle environment. We propose the design of a robust speaker identification algorithm embedding a smart preprocessing method based on voice activity detection, which can effectively reduce the influence of noise and distance on classification. Results show that our solution is able to efficiently improve the correct classification rate, even in the case of distant audio acquisition and in a variety of noisy environments.","Igor Bisio,Chiara Garibotto,A. Grattarola,Fabio Lavagetto,Andrea Sciarrone",IEEE Transactions on Vehicular Technology,2018
